mid,name,type,address,lat,lng,region
154,서울중앙시장,상설장,서울특별시 중구 퇴계로85길 36,37.56738265,127.0197632,서울
155,방산종합시장,상설장,서울특별시 중구 동호로37길 20,37.56872723,127.0008037,서울
156,평화시장,상설장,서울특별시 중구 청계천로 274,37.56942974,127.0080481,서울
157,통일상가,상설장,서울특별시 중구 청계천로 260-6,37.56915955,127.006203,서울
158,동화상가,상설장,서울특별시 중구 장충단로13길 34,37.5686099,127.0069161,서울
159,중부시장,상설장,서울특별시 중구 을지로36길 35,37.56506017,127.0019016,서울
160,신중부시장,상설장,서울특별시 중구 을지로30길 29,37.56554672,126.9994114,서울
161,Team204,상설장,서울특별시 중구 마장로 30,37.56771738,127.0131982,서울
162,테크노상가,상설장,서울특별시 중구 마장로1가길 17,37.56884362,127.0132437,서울
163,청평화시장,상설장,서울특별시 중구 청계천로 334,37.5694651,127.0149417,서울
164,제일평화시장,상설장,서울특별시 중구 마장로 13,37.56851044,127.0114021,서울
165,벨포스트,상설장,서울특별시 중구 마장로 19,37.56814098,127.0119871,서울
166,신평화패션타운,상설장,서울특별시 중구 청계천로 298,37.56945652,127.0110704,서울
167,동평화시장,상설장,서울특별시 중구 청계천로 318,37.56933911,127.0137758,서울
168,남평화시장,상설장,서울특별시 중구 장충단로 282-10,37.56917723,127.0108327,서울
169,광희패션몰,상설장,서울특별시 중구 마장로1길 21,37.56867257,127.0119193,서울
170,청계상가,상설장,서울특별시 중구 청계천로 160,37.56797977,126.9953591,서울
171,대림상가,상설장,서울특별시 중구 을지로 157,37.5671459,126.9954271,서울
172,삼익패션타운,상설장,서울특별시 중구 남대문시장8길 7,37.56043619,126.9789484,서울
173,숭례문수입상가,상설장,서울특별시 중구 소월로 3,37.5593725,126.9762097,서울
174,남대문시장,상설장,서울특별시 중구 남대문시장4길 21,37.55918357,126.9776585,서울
175,통인시장,상설장,서울특별시 종로구 자하문로 15길 18,37.5807607,126.9699423,서울
176,동문시장㈜,상설장,서울특별시 종로구 종로44길 14,37.57051095,127.011128,서울
177,동대문종합시장 신관(동대문쇼핑타운),상설장,서울특별시 종로구 종로 272,37.57081727,127.0080936,서울
178,동대문종합시장D동상가,상설장,서울특별시 종로구 종로 266,37.57070019,127.0073238,서울
179,동대문종합시장,상설장,서울특별시 종로구 종로 266,37.57070019,127.0073238,서울
180,한일상가,상설장,서울특별시 종로구 청계천로 229,37.57013275,127.0030223,서울
181,종로신진시장,상설장,서울특별시 종로구 종로38길 16,37.57023179,127.0049467,서울
182,장미제일시장,상설장,서울특별시 중랑구 동일로143길 36,37.60518362,127.0765334,서울
183,태능엔터피아,상설장,서울특별시 중랑구 동일로129길 35,37.59926352,127.0775053,서울
184,신아타운,상설장,서울특별시 중랑구 봉화산로 194,37.60645884,127.0947115,서울
185,동성타워프라자,상설장,서울특별시 중랑구 봉화산로 221,37.60804247,127.0972055,서울
186,중랑교종합상가,상설장,서울특별시 중랑구 망우로 32길 23,37.59294778,127.077121,서울
187,사가정시장,상설장,서울특별시 중랑구 면목로44길 16,37.58108117,127.0893792,서울
188,면목골목시장,상설장,서울특별시 중랑구 사가정로50길 84,37.57749074,127.0844409,서울
189,면목시장,상설장,서울특별시 중랑구 면목로39길 11,37.57954367,127.0862998,서울
190,동원시장,상설장,서울특별시 중랑구 면목로74길 45,37.58983934,127.0898896,서울
191,동원전통종합시장,상설장,서울특별시 중랑구 상봉로11길 27-3,37.58982861,127.0921089,서울
192,중랑동부시장(동부골목시장),상설장,서울특별시 중랑구 동일로109길 31-5,37.59150529,127.0784896,서울
193,우림골목시장,상설장,서울특별시 중랑구 망우로62길 52-4,37.59677029,127.0982661,서울
194,아트프라자,상설장,서울특별시 중구 마장로1길 28,37.56918604,127.0128249,서울
195,자유상가,상설장,서울특별시 중구 남대문로 36,37.56095891,126.9797744,서울
196,황학시장,상설장,서울특별시 중구 퇴계로85길 36,37.56738265,127.0197632,서울
197,연서시장,상설장,서울특별시 은평구 연서로 247,37.6196977,126.9221717,서울
198,돈암시장,상설장,서울특별시 성북구 동소문로18길 18 (돈암제일시장 고객편의센터),37.59153032,127.0159199,서울
199,공릉동도깨비시장,상설장,서울특별시 노원구 동일로180길 37,37.62269001,127.0762455,서울
200,암사종합시장,상설장,서울특별시 강동구 상암로11길 25,37.55085327,127.1288173,서울
